Sales,05/04/2023,05/05/2023,05/06/2023,05/07/2023,05/08/2023,05/09/2023,05/10/2023,05/11/2023,05/12/2023,05/13/2023,05/14/2023,05/15/2023,05/16/2023,05/17/2023,05/18/2023,05/19/2023,05/20/2023,05/21/2023,05/22/2023,05/23/2023,05/24/2023,05/25/2023,05/26/2023,05/27/2023,05/28/2023,05/29/2023,05/30/2023,05/31/2023,06/01/2023,06/02/2023,06/03/2023,06/04/2023,06/05/2023,06/06/2023,06/07/2023,06/08/2023,06/09/2023,06/10/2023,06/11/2023,06/12/2023,06/13/2023,06/14/2023,06/15/2023,06/16/2023,06/17/2023,06/18/2023,06/19/2023,06/20/2023,06/21/2023,06/22/2023,06/23/2023,06/24/2023,06/25/2023,06/26/2023,06/27/2023,06/28/2023,06/29/2023,06/30/2023,07/01/2023,07/02/2023,07/03/2023,07/04/2023,07/05/2023,07/06/2023,07/07/2023,07/08/2023,07/09/2023,07/10/2023,07/11/2023,07/12/2023,07/13/2023,07/14/2023,07/15/2023,07/16/2023,07/17/2023,07/18/2023,07/19/2023,07/20/2023,07/21/2023,07/22/2023,07/23/2023,07/24/2023,07/25/2023,07/26/2023,07/27/2023,07/28/2023,07/29/2023,07/30/2023,07/31/2023,08/01/2023,08/02/2023,08/03/2023,08/04/2023,08/05/2023,08/06/2023,08/07/2023,08/08/2023,08/09/2023,08/10/2023,08/11/2023,08/12/2023,08/13/2023,08/14/2023,08/15/2023,08/16/2023,08/17/2023,08/18/2023,08/19/2023,08/20/2023,08/21/2023,08/22/2023,08/23/2023,08/24/2023,08/25/2023,08/26/2023,08/27/2023,08/28/2023,08/29/2023,08/30/2023,08/31/2023,09/01/2023,09/02/2023,09/03/2023,09/04/2023,09/05/2023,09/06/2023,09/07/2023,09/08/2023,09/09/2023,09/10/2023,09/11/2023,09/12/2023,09/13/2023,09/14/2023,09/15/2023,09/16/2023,09/17/2023,09/18/2023,09/19/2023,09/20/2023,09/21/2023,09/22/2023,09/23/2023,09/24/2023,09/25/2023,09/26/2023,09/27/2023,09/28/2023,09/29/2023,09/30/2023,10/01/2023,10/02/2023,10/03/2023,10/04/2023,10/05/2023,10/06/2023,10/07/2023,10/08/2023,10/09/2023,10/10/2023,10/11/2023,10/12/2023,10/13/2023,10/14/2023,10/15/2023,10/16/2023,10/17/2023,10/18/2023,10/19/2023,10/20/2023,10/21/2023,10/22/2023,10/23/2023,10/24/2023,10/25/2023,10/26/2023,10/27/2023,10/28/2023,10/29/2023,10/30/2023,10/31/2023,11/01/2023,11/02/2023,11/03/2023,11/04/2023,11/05/2023,11/06/2023,11/07/2023,11/08/2023,11/09/2023,11/10/2023,11/11/2023,11/12/2023,11/13/2023,11/14/2023,11/15/2023,11/16/2023,11/17/2023,11/18/2023,11/19/2023,11/20/2023,11/21/2023,11/22/2023,11/23/2023,11/24/2023,11/25/2023,11/26/2023,11/27/2023,11/28/2023,11/29/2023,11/30/2023,12/01/2023,12/02/2023,12/03/2023,12/04/2023,12/05/2023,12/06/2023,12/07/2023,12/08/2023,12/09/2023,12/10/2023,12/11/2023,12/12/2023,12/13/2023,12/14/2023,12/15/2023,12/16/2023,12/17/2023,12/18/2023,12/19/2023,12/20/2023,12/21/2023,12/22/2023,12/23/2023,12/24/2023,12/25/2023,12/26/2023,12/27/2023,12/28/2023,12/29/2023,12/30/2023,12/31/2023,01/01/2024,01/02/2024,01/03/2024,01/04/2024,01/05/2024,01/06/2024,01/07/2024,01/08/2024,01/09/2024,01/10/2024,01/11/2024,01/12/2024,01/13/2024,01/14/2024,01/15/2024,01/16/2024,01/17/2024,01/18/2024,01/19/2024,01/20/2024,01/21/2024,01/22/2024,01/23/2024,01/24/2024,01/25/2024,01/26/2024,01/27/2024,01/28/2024,01/29/2024,01/30/2024,01/31/2024,02/01/2024,02/02/2024,02/03/2024,02/04/2024,02/05/2024,02/06/2024,02/07/2024,02/08/2024,02/09/2024,02/10/2024,02/11/2024,02/12/2024,02/13/2024,02/14/2024,02/15/2024,02/16/2024,02/17/2024,02/18/2024,02/19/2024,02/20/2024,02/21/2024,02/22/2024,02/23/2024,02/24/2024,02/25/2024,02/26/2024,02/27/2024,02/28/2024,02/29/2024,03/01/2024,03/02/2024,03/03/2024,03/04/2024,03/05/2024,03/06/2024,03/07/2024,03/08/2024,03/09/2024,03/10/2024,03/11/2024,03/12/2024,03/13/2024,03/14/2024,03/15/2024,03/16/2024,03/17/2024,03/18/2024,03/19/2024,03/20/2024,03/21/2024,03/22/2024,03/23/2024,03/24/2024,03/25/2024,03/26/2024,03/27/2024,03/28/2024,03/29/2024,03/30/2024,03/31/2024,04/01/2024,04/02/2024,04/03/2024,04/04/2024,04/05/2024,04/06/2024,04/07/2024,04/08/2024,04/09/2024,04/10/2024,04/11/2024,04/12/2024,04/13/2024,04/14/2024,04/15/2024,04/16/2024,04/17/2024,04/18/2024,04/19/2024,04/20/2024,04/21/2024,04/22/2024,04/23/2024,04/24/2024,04/25/2024,04/26/2024,04/27/2024,04/28/2024,04/29/2024,04/30/2024,05/01/2024,05/02/2024,05/03/2024,05/04/2024,05/05/2024
Gross Sales,"$2,099.80","$2,331.30","$1,774.80","$1,773.20","$2,679.70","$2,178.70","$2,705.40","$2,969.80","$3,433.60","$1,589.91","$1,197.20","$2,485.40","$3,046.30","$2,576.75","$2,448.15","$2,556.53",$927.80,"$1,461.60","$2,360.00","$2,389.30","$2,857.85","$2,528.55","$3,168.20","$1,502.80","$1,242.10","$1,647.80","$2,407.97","$2,611.30","$2,857.65","$2,891.35",$945.95,"$1,409.40","$2,350.80","$2,368.10","$2,184.20","$2,317.50","$2,600.40","$1,452.10","$1,529.10","$2,078.50","$2,602.55","$2,152.30","$2,482.90","$2,158.40","$1,414.80","$1,181.20","$2,458.40","$2,000.60","$2,065.40","$2,067.80","$1,889.80","$1,446.00","$1,389.60","$2,317.20","$2,246.30","$2,509.40","$2,834.60","$2,736.70","$1,227.60",$987.35,"$2,394.10",$658.10,"$2,966.10","$2,970.80","$2,642.85","$1,265.40","$1,326.80","$2,616.42","$2,108.98","$2,784.50","$2,904.56","$2,204.90","$1,527.30",$771.80,"$2,568.70","$2,155.55","$2,356.40","$2,821.60","$2,790.20","$1,531.00","$1,205.70","$2,470.10","$2,308.85","$2,755.00","$2,782.70","$2,889.30","$1,499.00","$1,293.70","$2,338.80","$2,515.70","$2,583.50","$2,596.30","$2,239.80","$1,417.75","$1,306.80","$2,105.00","$2,640.80","$2,551.10","$2,061.40","$2,709.40","$1,587.80","$1,460.45","$2,272.10","$2,159.46","$2,558.70","$2,419.85","$2,657.45","$1,622.95","$1,272.70","$2,748.50","$2,439.80","$2,313.60","$1,793.10","$1,841.52","$1,680.70","$1,319.30","$2,055.55","$2,487.04","$2,478.45","$2,622.30","$2,665.90","$1,506.10","$1,295.05","$1,562.34","$2,665.50","$2,719.65","$1,876.60","$2,253.70","$1,518.80","$1,180.80","$2,194.57","$2,440.90","$2,352.90","$2,586.80","$2,641.35","$1,418.80","$1,431.88","$1,500.70","$2,070.85","$2,477.95","$2,508.60","$2,172.40",$811.30,$643.00,"$1,476.10","$1,369.20","$2,017.70","$1,703.20","$1,009.50","$1,307.90","$1,466.00","$2,306.10","$2,652.70","$2,698.10","$2,367.80","$2,152.05",$919.00,"$1,144.43","$1,842.40","$1,765.79","$2,074.80","$2,274.70","$1,995.50",$932.10,"$1,025.20","$1,644.20","$1,691.20","$1,712.80","$2,203.35","$1,574.87","$1,280.40",$760.85,"$1,649.28","$1,804.10","$1,856.70","$2,742.60","$2,125.80","$1,704.30",$749.50,"$1,587.80","$1,510.40","$1,356.20","$1,543.40","$1,710.80","$1,265.25",$929.10,"$1,533.90","$2,059.60","$1,460.30","$2,089.81","$1,876.55",$939.25,$914.80,"$1,609.89","$1,503.20","$1,611.60","$1,825.26","$2,005.30","$1,008.86","$1,106.50","$1,309.20","$1,064.90","$1,717.40",$0.00,$962.50,$639.80,$643.20,"$1,535.70",$873.10,$955.40,"$1,532.40","$1,353.50","$1,193.10",$511.50,"$1,338.60","$1,418.70","$1,271.20","$1,015.20","$1,770.53","$1,008.70",$645.60,$918.50,"$1,439.20","$1,381.95","$1,057.30","$1,595.80","$1,097.10",$865.20,"$1,058.00",$902.70,"$1,076.60","$1,239.80","$1,045.40",$680.50,$495.89,$196.10,"$1,114.00","$1,270.60","$1,038.30","$1,538.50",$668.50,$751.60,$759.10,"$1,086.60","$1,134.45","$1,301.00","$1,394.97",$653.00,$561.20,"$1,204.95","$1,154.30","$1,681.00","$1,315.80","$1,565.40","$1,192.40",$794.80,$804.34,$697.10,$868.40,"$1,194.60","$1,137.40",$660.90,$559.10,"$1,098.20","$1,178.80","$1,142.40","$1,439.30","$1,293.20","$1,072.95",$635.85,"$1,205.10","$1,196.30","$1,464.95","$1,381.60","$1,542.70","$1,087.25",$859.35,"$1,479.40",$672.10,"$1,427.35","$1,751.60","$2,174.00","$1,098.35",$965.70,"$1,574.25",$702.00,"$1,254.20","$1,647.50","$1,792.15","$1,004.30",$650.25,"$1,178.80","$1,522.70","$1,746.40","$1,599.41","$1,696.50","$1,187.69","$1,211.05","$1,594.90","$1,931.50","$1,673.80","$1,664.30","$1,905.45",$964.50,"$2,034.70","$1,938.60","$1,195.05","$1,654.95","$1,899.30","$2,413.79",$819.60,$927.50,"$1,558.90","$2,495.30","$2,384.40","$3,041.70","$2,747.50","$1,359.70","$1,566.30","$1,703.20","$1,662.60","$1,739.20","$1,631.40","$1,598.69",$645.50,"$1,119.00","$1,655.95","$1,937.15","$1,704.40","$1,875.12","$2,633.05","$1,247.69","$1,088.59","$1,490.30","$1,265.80","$1,124.50","$1,585.40","$2,046.00","$1,385.05","$1,299.50","$2,115.65","$2,914.10","$2,434.70","$2,193.80","$1,998.20","$1,105.60","$1,662.10","$3,057.00","$2,743.00","$1,930.03","$1,616.80","$2,198.30","$1,499.80",$899.50,"$2,106.20","$1,999.00","$2,241.80","$2,158.35","$2,310.70","$1,569.06","$1,523.40","$3,234.65","$2,117.40","$2,837.10","$2,942.10","$2,503.25","$1,191.90",$0.00
Items,"$2,099.80","$2,331.30","$1,774.80","$1,773.20","$2,679.70","$2,178.70","$2,705.40","$2,969.80","$3,433.60","$1,589.91","$1,197.20","$2,485.40","$3,046.30","$2,576.75","$2,448.15","$2,556.53",$927.80,"$1,461.60","$2,360.00","$2,389.30","$2,857.85","$2,528.55","$3,168.20","$1,502.80","$1,242.10","$1,647.80","$2,407.97","$2,611.30","$2,857.65","$2,891.35",$945.95,"$1,409.40","$2,350.80","$2,368.10","$2,184.20","$2,317.50","$2,600.40","$1,452.10","$1,529.10","$2,078.50","$2,602.55","$2,152.30","$2,482.90","$2,158.40","$1,414.80","$1,181.20","$2,458.40","$2,000.60","$2,065.40","$2,067.80","$1,889.80","$1,446.00","$1,389.60","$2,317.20","$2,246.30","$2,509.40","$2,834.60","$2,736.70","$1,227.60",$987.35,"$2,394.10",$658.10,"$2,966.10","$2,970.80","$2,642.85","$1,265.40","$1,326.80","$2,616.42","$2,108.98","$2,784.50","$2,904.56","$2,204.90","$1,527.30",$771.80,"$2,568.70","$2,155.55","$2,356.40","$2,821.60","$2,790.20","$1,531.00","$1,205.70","$2,470.10","$2,308.85","$2,755.00","$2,782.70","$2,889.30","$1,499.00","$1,293.70","$2,338.80","$2,515.70","$2,583.50","$2,596.30","$2,239.80","$1,417.75","$1,306.80","$2,105.00","$2,640.80","$2,551.10","$2,061.40","$2,709.40","$1,587.80","$1,460.45","$2,272.10","$2,159.46","$2,558.70","$2,419.85","$2,657.45","$1,622.95","$1,272.70","$2,748.50","$2,439.80","$2,313.60","$1,793.10","$1,841.52","$1,680.70","$1,319.30","$2,055.55","$2,487.04","$2,478.45","$2,622.30","$2,665.90","$1,506.10","$1,295.05","$1,562.34","$2,665.50","$2,719.65","$1,876.60","$2,253.70","$1,518.80","$1,180.80","$2,194.57","$2,440.90","$2,352.90","$2,586.80","$2,641.35","$1,418.80","$1,431.88","$1,500.70","$2,070.85","$2,477.95","$2,508.60","$2,172.40",$811.30,$643.00,"$1,476.10","$1,369.20","$2,017.70","$1,703.20","$1,009.50","$1,307.90","$1,466.00","$2,306.10","$2,652.70","$2,698.10","$2,367.80","$2,152.05",$919.00,"$1,144.43","$1,842.40","$1,765.79","$2,074.80","$2,274.70","$1,995.50",$932.10,"$1,025.20","$1,644.20","$1,691.20","$1,712.80","$2,203.35","$1,574.87","$1,280.40",$760.85,"$1,649.28","$1,804.10","$1,856.70","$2,742.60","$2,125.80","$1,704.30",$749.50,"$1,587.80","$1,510.40","$1,356.20","$1,543.40","$1,710.80","$1,265.25",$929.10,"$1,533.90","$2,059.60","$1,460.30","$2,089.81","$1,876.55",$939.25,$914.80,"$1,609.89","$1,503.20","$1,611.60","$1,825.26","$2,005.30","$1,008.86","$1,106.50","$1,309.20","$1,064.90","$1,717.40",$0.00,$962.50,$639.80,$643.20,"$1,535.70",$873.10,$955.40,"$1,532.40","$1,353.50","$1,193.10",$511.50,"$1,338.60","$1,418.70","$1,271.20","$1,015.20","$1,770.53","$1,008.70",$645.60,$918.50,"$1,439.20","$1,381.95","$1,057.30","$1,595.80","$1,097.10",$865.20,"$1,058.00",$902.70,"$1,076.60","$1,239.80","$1,045.40",$680.50,$495.89,$196.10,"$1,114.00","$1,270.60","$1,038.30","$1,538.50",$668.50,$751.60,$759.10,"$1,086.60","$1,134.45","$1,301.00","$1,394.97",$653.00,$561.20,"$1,204.95","$1,154.30","$1,681.00","$1,315.80","$1,565.40","$1,192.40",$794.80,$804.34,$697.10,$868.40,"$1,194.60","$1,137.40",$660.90,$559.10,"$1,098.20","$1,178.80","$1,142.40","$1,439.30","$1,293.20","$1,072.95",$635.85,"$1,205.10","$1,196.30","$1,464.95","$1,381.60","$1,542.70","$1,087.25",$859.35,"$1,479.40",$672.10,"$1,427.35","$1,751.60","$2,174.00","$1,098.35",$965.70,"$1,574.25",$702.00,"$1,254.20","$1,647.50","$1,792.15","$1,004.30",$650.25,"$1,178.80","$1,522.70","$1,746.40","$1,599.41","$1,696.50","$1,187.69","$1,211.05","$1,594.90","$1,931.50","$1,673.80","$1,664.30","$1,905.45",$964.50,"$2,034.70","$1,938.60","$1,195.05","$1,654.95","$1,899.30","$2,413.79",$819.60,$927.50,"$1,558.90","$2,495.30","$2,384.40","$3,041.70","$2,747.50","$1,359.70","$1,566.30","$1,703.20","$1,662.60","$1,739.20","$1,631.40","$1,598.69",$645.50,"$1,119.00","$1,655.95","$1,937.15","$1,704.40","$1,875.12","$2,633.05","$1,247.69","$1,088.59","$1,490.30","$1,265.80","$1,124.50","$1,585.40","$2,046.00","$1,385.05","$1,299.50","$2,115.65","$2,914.10","$2,434.70","$2,193.80","$1,998.20","$1,105.60","$1,662.10","$3,057.00","$2,743.00","$1,930.03","$1,616.80","$2,198.30","$1,499.80",$899.50,"$2,106.20","$1,999.00","$2,241.80","$2,158.35","$2,310.70","$1,569.06","$1,523.40","$3,234.65","$2,117.40","$2,837.10","$2,942.10","$2,503.25","$1,191.90",$0.00
Service Charges,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Returns,$0.00,$0.00,$0.00,-$8.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$8.71,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$7.00,$0.00,$0.00,$0.00,$0.00,-$7.00,$0.00,$0.00,$0.00,$0.00,-$10.00,-$16.00,$0.00,$0.00,-$21.50,$0.00,$0.00,$0.00,-$23.00,$0.00,$0.00,$0.00,-$10.00,$0.00,$0.00,$0.00,-$1.50,-$7.00,$0.00,-$15.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$7.00,$0.00,$0.00,$0.00,$0.00,-$16.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$13.53,$0.00,-$1.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$17.00,-$8.00,$0.00,$0.00,$0.00,$0.00,-$14.00,$0.00,$0.00,-$19.50,$0.00,$0.00,-$8.00,$0.00,-$26.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$22.00,$0.00,$0.00,$0.00,$0.00,-$6.00,$0.00,$0.00,$0.00,-$7.00,$0.00,$0.00,-$6.00,$0.00,$0.00,$0.00,-$20.00,$0.00,$0.00,$0.00,-$31.00,-$7.00,$0.00,$0.00,$0.00,-$1.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$10.00,$0.00,$0.00,$0.00,$0.00,-$28.00,$0.00,-$8.00,$0.00,$0.00,$0.00,$0.00,-$7.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$3.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$12.50,$0.00,$0.00,$0.00,-$16.50,$0.00,$0.00,$0.00,$0.00,$0.00,-$20.00,-$16.00,$0.00,$0.00,$0.00,-$19.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$11.00,$0.00,$0.00,-$7.00,$0.00,-$6.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$7.50,$0.00,$0.00,-$8.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$6.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$11.00,-$9.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$6.00,$0.00,$0.00,-$9.00,$0.00,-$8.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$7.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$14.00,-$22.00,$0.00,$0.00,$0.00,$0.00,-$14.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$6.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$8.00,$0.00,$0.00,$0.00,-$9.00,-$9.00,$0.00,$0.00,$0.00,-$18.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$6.60,$0.00,$0.00,$0.00,-$19.00,$0.00,$0.00,-$46.00,$0.00,-$17.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$8.00,$0.00,-$10.00,$0.00,$0.00,$0.00,-$5.00,$0.00,$0.00,$0.00,$0.00,-$13.00,$0.00,$0.00,$0.00,-$8.00,-$8.50,$0.00,$0.00,-$9.50,$0.00,$0.00,-$9.00,$0.00,-$8.50,$0.00,$0.00,$0.00,$0.00,-$8.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$30.00,-$12.50,$0.00,$0.00
Discounts & Comps,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
